Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
259,Entry short,2025-05-27 13:00,Short Entry,277.31,3.605,999.70255,1.67,0.17,1,12.15,1.22,-11.46,-1.15,1138.84,569.42,1
260,Exit short,2025-06-11 17:00,Trailing Stop,303.24,3.272,999.89048,6.69,0.67,1,17.17,1.72,-13.2,-1.32,1145.53,572.77,0
260,Entry short,2025-06-11 17:00,Short Entry,305.59,3.272,999.89048,6.69,0.67,1,17.17,1.72,-13.2,-1.32,1145.53,572.77,0
261,Exit short,2025-07-01 01:00,Trailing Stop,270.34,3.645,999.8964,13.51,1.35,0.99,23.99,2.40,-11.4,-1.14,1159.05,579.52,1
261,Entry short,2025-06-30 21:00,Short Entry,274.32,3.645,999.8964,13.51,1.35,0.99,23.99,2.40,-11.4,-1.14,1159.05,579.52,1
262,Exit short,2025-07-07 17:00,Trailing Stop,281.93,3.482,999.92594,17.25,1.72,0.99,27.74,2.77,-12.69,-1.27,1176.3,588.15,4
262,Entry short,2025-07-07 01:00,Short Entry,287.17,3.482,999.92594,17.25,1.72,0.99,27.74,2.77,-12.69,-1.27,1176.3,588.15,4
263,Exit short,2025-07-08 13:00,Stop Loss,290.79,3.504,999.90144,-20.04,-2.00,1.01,5.46,0.55,-19.53,-1.95,1156.27,578.13,0
263,Entry short,2025-07-08 13:00,Short Entry,285.36,3.504,999.90144,-20.04,-2.00,1.01,5.46,0.55,-19.53,-1.95,1156.27,578.13,0
264,Exit short,2025-07-09 01:00,Stop Loss,295.95,3.443,999.95049,-20.01,-2.00,1.01,0.12,0.01,-19.51,-1.95,1136.25,568.13,0
264,Entry short,2025-07-09 01:00,Short Entry,290.43,3.443,999.95049,-20.01,-2.00,1.01,0.12,0.01,-19.51,-1.95,1136.25,568.13,0
265,Exit short,2025-07-09 13:00,Trailing Stop,297.64,3.346,999.75134,2.85,0.28,1,13.32,1.33,-12.55,-1.25,1139.1,569.55,1
265,Entry short,2025-07-09 09:00,Short Entry,298.79,3.346,999.75134,2.85,0.28,1,13.32,1.33,-12.55,-1.25,1139.1,569.55,1
266,Exit short,2025-07-10 09:00,Trailing Stop,296.14,3.317,1000.00916,16.72,1.67,0.99,27.2,2.72,-3.19,-0.32,1155.82,577.91,3
266,Entry short,2025-07-09 21:00,Short Entry,301.48,3.317,1000.00916,16.72,1.67,0.99,27.2,2.72,-3.19,-0.32,1155.82,577.91,3
267,Exit short,2025-07-11 01:00,Stop Loss,311.93,3.266,999.75526,-20.02,-2.00,1.01,6.82,0.68,-19.51,-1.95,1135.81,567.90,0
267,Entry short,2025-07-11 01:00,Short Entry,306.11,3.266,999.75526,-20.02,-2.00,1.01,6.82,0.68,-19.51,-1.95,1135.81,567.90,0
268,Exit short,2025-07-14 09:00,Trailing Stop,319.89,3.088,999.98704,11.17,1.12,0.99,21.64,2.16,-12.79,-1.28,1146.98,573.49,0
268,Entry short,2025-07-14 09:00,Short Entry,323.83,3.088,999.98704,11.17,1.12,0.99,21.64,2.16,-12.79,-1.28,1146.98,573.49,0
269,Exit short,2025-07-16 01:00,Stop Loss,329.49,3.092,999.76728,-20.03,-2.00,1.01,6.52,0.65,-19.52,-1.95,1126.95,563.48,0
269,Entry short,2025-07-16 01:00,Short Entry,323.34,3.092,999.76728,-20.03,-2.00,1.01,6.52,0.65,-19.52,-1.95,1126.95,563.48,0
270,Exit short,2025-07-16 13:00,Trailing Stop,326.49,3.037,999.81077,7.26,0.73,1,17.75,1.77,-18.08,-1.81,1134.22,567.11,1
