Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
116,Entry long,2023-05-12 05:00,Long Entry,1.229,814.332,1000.814028,1.28,0.13,1,11.71,1.17,-5.39,-0.54,661.31,330.66,0
117,Exit long,2023-06-06 13:00,Take Profit,1.1847,871.08,1000.87092,30.08,3.00,1.02,30.6,3.06,-5.73,-0.57,691.39,345.70,0
117,Entry long,2023-06-06 13:00,Long Entry,1.149,871.08,1000.87092,30.08,3.00,1.02,30.6,3.06,-5.73,-0.57,691.39,345.70,0
118,Exit long,2023-06-08 13:00,Trailing Stop,1.1101,914.913,1000.914822,13.72,1.37,1.01,24.2,2.42,-12.39,-1.24,705.12,352.56,2
118,Entry long,2023-06-08 05:00,Long Entry,1.094,914.913,1000.914822,13.72,1.37,1.01,24.2,2.42,-12.39,-1.24,705.12,352.56,2
119,Exit long,2023-06-10 17:00,Trailing Stop,0.8714,1152.073,999.999364,2.92,0.29,1,13.32,1.33,-12.02,-1.20,708.03,354.02,0
119,Entry long,2023-06-10 17:00,Long Entry,0.868,1152.073,999.999364,2.92,0.29,1,13.32,1.33,-12.02,-1.20,708.03,354.02,0
120,Exit long,2023-06-12 05:00,Trailing Stop,0.8636,1182.033,1001.181951,18.61,1.86,1.01,29.05,2.90,-4.05,-0.40,726.64,363.32,0
120,Entry long,2023-06-12 05:00,Long Entry,0.847,1182.033,1001.181951,18.61,1.86,1.01,29.05,2.90,-4.05,-0.40,726.64,363.32,0
121,Exit short,2023-06-24 13:00,Take Profit,0.9961,973.709,1000.972852,30.08,3.00,0.99,30.56,3.05,-18.03,-1.80,756.72,378.36,4
121,Entry short,2023-06-23 21:00,Short Entry,1.028,973.709,1000.972852,30.08,3.00,0.99,30.56,3.05,-18.03,-1.80,756.72,378.36,4
122,Exit short,2023-06-25 13:00,Trailing Stop,1.0606,941.619,999.999378,0.32,0.03,1,10.8,1.08,-0.5,-0.05,757.04,378.52,0
122,Entry short,2023-06-25 13:00,Short Entry,1.062,941.619,999.999378,0.32,0.03,1,10.8,1.08,-0.5,-0.05,757.04,378.52,0
123,Exit short,2023-07-02 01:00,Trailing Stop,1.0779,911.577,999.999969,16.42,1.64,0.99,26.85,2.68,-10.53,-1.05,773.46,386.73,0
123,Entry short,2023-07-02 01:00,Short Entry,1.097,911.577,999.999969,16.42,1.64,0.99,26.85,2.68,-10.53,-1.05,773.46,386.73,0
124,Exit long,2023-07-25 09:00,Stop Loss,0.9358,1048.218,999.999972,-20.07,-2.01,0.99,2.64,0.26,-19.58,-1.96,753.39,376.69,0
124,Entry long,2023-07-25 09:00,Long Entry,0.954,1048.218,999.999972,-20.07,-2.01,0.99,2.64,0.26,-19.58,-1.96,753.39,376.69,0
125,Exit long,2023-07-26 01:00,Trailing Stop,0.9506,1063.829,999.99926,10.27,1.03,1.01,20.78,2.08,-15.39,-1.54,763.66,381.83,1
125,Entry long,2023-07-25 21:00,Long Entry,0.94,1063.829,999.99926,10.27,1.03,1.01,20.78,2.08,-15.39,-1.54,763.66,381.83,1
126,Exit long,2023-07-28 13:00,Trailing Stop,0.9535,1053.74,1001.053,2.69,0.27,1,13.2,1.32,-13.15,-1.31,766.34,383.17,4
126,Entry long,2023-07-27 21:00,Long Entry,0.95,1053.74,1001.053,2.69,0.27,1,13.2,1.32,-13.15,-1.31,766.34,383.17,4
127,Exit long,2023-07-31 01:00,Trailing Stop,0.9486,1059.322,998.940646,4.93,0.49,1,15.39,1.54,-6.86,-0.69,771.27,385.64,1
127,Entry long,2023-07-30 21:00,Long Entry,0.943,1059.322,998.940646,4.93,0.49,1,15.39,1.54,-6.86,-0.69,771.27,385.64,1
128,Exit long,2023-08-01 09:00,Trailing Stop,0.9229,1089.324,999.999432,4.34,0.43,1,14.75,1.47,-1.59,-0.16,775.61,387.80,1
128,Entry long,2023-08-01 05:00,Long Entry,0.918,1089.324,999.999432,4.34,0.43,1,14.75,1.47,-1.59,-0.16,775.61,387.80,1
129,Exit long,2023-08-05 13:00,Trailing Stop,0.9269,1089.324,999.999432,8.69,0.87,1,19.11,1.91,-4.86,-0.49,784.3,392.15,1
129,Entry long,2023-08-05 09:00,Long Entry,0.918,1089.324,999.999432,8.69,0.87,1,19.11,1.91,-4.86,-0.49,784.3,392.15,1
130,Exit long,2023-08-08 09:00,Trailing Stop,0.9219,1090.512,999.999504,4.34,0.43,1,14.77,1.48,-12.5,-1.25,788.64,394.32,1
130,Entry long,2023-08-08 05:00,Long Entry,0.917,1090.512,999.999504,4.34,0.43,1,14.77,1.48,-12.5,-1.25,788.64,394.32,1
131,Exit short,2023-08-14 17:00,Stop Loss,0.9763,1042.752,998.956416,-20.09,-2.01,1.01,5.76,0.58,-19.58,-1.96,768.55,384.27,1
131,Entry short,2023-08-14 13:00,Short Entry,0.958,1042.752,998.956416,-20.09,-2.01,1.01,5.76,0.58,-19.58,-1.96,768.55,384.27,1
132,Exit long,2023-08-17 17:00,Stop Loss,0.8171,1200.48,999.99984,-20.08,-2.01,0.99,0.7,0.07,-19.59,-1.96,748.47,374.24,0
132,Entry long,2023-08-17 17:00,Long Entry,0.833,1200.48,999.99984,-20.08,-2.01,0.99,0.7,0.07,-19.59,-1.96,748.47,374.24,0
133,Exit short,2023-09-09 09:00,Take Profit,0.7858,1233.045,999.999495,30.09,3.01,0.98,30.57,3.06,-4.2,-0.42,778.56,389.28,1
133,Entry short,2023-09-09 05:00,Short Entry,0.811,1233.045,999.999495,30.09,3.01,0.98,30.57,3.06,-4.2,-0.42,778.56,389.28,1
134,Exit long,2023-09-28 13:00,Trailing Stop,0.7228,1388.888,999.99936,2.89,0.29,1,13.39,1.34,-13,-1.30,781.45,390.72,5
134,Entry long,2023-09-27 17:00,Long Entry,0.72,1388.888,999.99936,2.89,0.29,1,13.39,1.34,-13,-1.30,781.45,390.72,5
135,Exit long,2023-10-10 13:00,Stop Loss,0.6719,1459.854,999.99999,-20.11,-2.01,0.99,5.34,0.53,-19.62,-1.96,761.33,380.67,2
135,Entry long,2023-10-10 05:00,Long Entry,0.685,1459.854,999.99999,-20.11,-2.01,0.99,5.34,0.53,-19.62,-1.96,761.33,380.67,2
136,Exit long,2023-10-10 17:00,Trailing Stop,0.6723,1490.312,999.999352,0.94,0.09,1,11.42,1.14,0,0.00,762.27,381.13,1
136,Entry long,2023-10-10 13:00,Long Entry,0.671,1490.312,999.999352,0.94,0.09,1,11.42,1.14,0,0.00,762.27,381.13,1
137,Exit long,2023-10-11 09:00,Stop Loss,0.6445,1519.756,998.479692,-19.99,-2.00,0.99,7.1,0.71,-19.5,-1.95,742.28,371.14,0
137,Entry long,2023-10-11 09:00,Long Entry,0.657,1519.756,998.479692,-19.99,-2.00,0.99,7.1,0.71,-19.5,-1.95,742.28,371.14,0
138,Exit long,2023-10-11 21:00,Trailing Stop,0.6436,1555.209,999.999387,-0.07,-0.01,1,10.39,1.04,-6.72,-0.67,742.21,371.11,1
138,Entry long,2023-10-11 17:00,Long Entry,0.643,1555.209,999.999387,-0.07,-0.01,1,10.39,1.04,-6.72,-0.67,742.21,371.11,1
139,Exit short,2023-10-23 09:00,Stop Loss,0.7561,1347.708,999.999336,-20.01,-2.00,1.01,7.59,0.76,-19.5,-1.95,722.2,361.10,1
139,Entry short,2023-10-23 05:00,Short Entry,0.742,1347.708,999.999336,-20.01,-2.00,1.01,7.59,0.76,-19.5,-1.95,722.2,361.10,1
140,Exit short,2023-10-24 01:00,Trailing Stop,0.7758,1275.51,998.72433,8.19,0.82,0.99,18.63,1.86,-17.08,-1.71,730.39,365.20,0
140,Entry short,2023-10-24 01:00,Short Entry,0.783,1275.51,998.72433,8.19,0.82,0.99,18.63,1.86,-17.08,-1.71,730.39,365.20,0
141,Exit short,2023-10-24 13:00,Trailing Stop,0.7697,1295.336,999.999392,1.98,0.20,1,12.45,1.24,-0.5,-0.05,732.37,366.19,0
141,Entry short,2023-10-24 13:00,Short Entry,0.772,1295.336,999.999392,1.98,0.20,1,12.45,1.24,-0.5,-0.05,732.37,366.19,0
142,Exit short,2023-10-25 17:00,Trailing Stop,0.802,1245.33,1001.24532,1.49,0.15,1,11.95,1.19,-5.48,-0.55,733.86,366.93,0
142,Entry short,2023-10-25 17:00,Short Entry,0.804,1245.33,1001.24532,1.49,0.15,1,11.95,1.19,-5.48,-0.55,733.86,366.93,0
143,Exit short,2023-10-26 09:00,Take Profit,0.8013,1209.189,999.999303,30.09,3.01,0.98,30.58,3.06,-13.8,-1.38,763.96,381.98,0
143,Entry short,2023-10-26 09:00,Short Entry,0.827,1209.189,999.999303,30.09,3.01,0.98,30.58,3.06,-13.8,-1.38,763.96,381.98,0
144,Exit short,2023-10-30 05:00,Trailing Stop,0.8919,1113.585,999.99933,5.8,0.58,1,16.2,1.62,-11.64,-1.16,769.75,384.88,1
144,Entry short,2023-10-30 01:00,Short Entry,0.898,1113.585,999.99933,5.8,0.58,1,16.2,1.62,-11.64,-1.16,769.75,384.88,1
145,Exit short,2023-10-30 13:00,Trailing Stop,0.8839,1118.568,998.881224,9.19,0.92,0.99,19.63,1.96,-16.16,-1.62,778.94,389.47,0
145,Entry short,2023-10-30 13:00,Short Entry,0.893,1118.568,998.881224,9.19,0.92,0.99,19.63,1.96,-16.16,-1.62,778.94,389.47,0
146,Exit short,2023-10-31 05:00,Trailing Stop,0.893,1109.877,999.999177,7.88,0.79,1,18.37,1.84,-16.04,-1.60,786.82,393.41,1
146,Entry short,2023-10-31 01:00,Short Entry,0.901,1109.877,999.999177,7.88,0.79,1,18.37,1.84,-16.04,-1.60,786.82,393.41,1
147,Exit short,2023-11-02 09:00,Take Profit,0.8866,1092.896,999.99984,30.05,3.00,0.98,30.54,3.05,-2.69,-0.27,816.87,408.44,0
147,Entry short,2023-11-02 09:00,Short Entry,0.915,1092.896,999.99984,30.05,3.00,0.98,30.54,3.05,-2.69,-0.27,816.87,408.44,0
148,Exit short,2023-11-06 05:00,Stop Loss,0.9222,1106.194,1001.10557,-20.04,-2.00,1.01,6.14,0.61,-19.53,-1.95,796.84,398.42,0
148,Entry short,2023-11-06 05:00,Short Entry,0.905,1106.194,1001.10557,-20.04,-2.00,1.01,6.14,0.61,-19.53,-1.95,796.84,398.42,0
149,Exit short,2023-11-06 21:00,Trailing Stop,0.9394,1055.966,998.943836,5.97,0.60,1,16.4,1.64,-17.39,-1.74,802.81,401.41,2
149,Entry short,2023-11-06 13:00,Short Entry,0.946,1055.966,998.943836,5.97,0.60,1,16.4,1.64,-17.39,-1.74,802.81,401.41,2
150,Exit short,2023-11-07 09:00,Take Profit,0.9079,1068.376,1001.068312,30.1,3.01,0.99,30.59,3.05,-7.98,-0.80,832.91,416.46,0
150,Entry short,2023-11-07 09:00,Short Entry,0.937,1068.376,1001.068312,30.1,3.01,0.99,30.59,3.05,-7.98,-0.80,832.91,416.46,0
151,Exit short,2023-11-08 21:00,Stop Loss,0.9803,1039.501,999.999962,-20.03,-2.00,1.01,8.86,0.89,-19.52,-1.95,812.88,406.44,0
151,Entry short,2023-11-08 21:00,Short Entry,0.962,1039.501,999.999962,-20.03,-2.00,1.01,8.86,0.89,-19.52,-1.95,812.88,406.44,0
152,Exit short,2023-11-09 09:00,Stop Loss,0.9824,1036.269,998.963316,-20.08,-2.01,1.01,7.79,0.78,-19.57,-1.96,792.81,396.40,1
152,Entry short,2023-11-09 05:00,Short Entry,0.964,1036.269,998.963316,-20.08,-2.01,1.01,7.79,0.78,-19.57,-1.96,792.81,396.40,1
153,Exit short,2023-11-11 21:00,Take Profit,0.9312,1040.582,999.999302,30.02,3.00,0.98,30.51,3.05,-3.62,-0.36,822.83,411.42,0
153,Entry short,2023-11-11 21:00,Short Entry,0.961,1040.582,999.999302,30.02,3.00,0.98,30.51,3.05,-3.62,-0.36,822.83,411.42,0
154,Exit short,2023-11-12 13:00,Trailing Stop,0.9949,1002.004,999.999992,2.11,0.21,1,12.53,1.25,-12.52,-1.25,824.94,412.47,0
154,Entry short,2023-11-12 13:00,Short Entry,0.998,1002.004,999.999992,2.11,0.21,1,12.53,1.25,-12.52,-1.25,824.94,412.47,0
155,Exit short,2023-11-13 21:00,Take Profit,0.935,1035.196,998.96414,30.07,3.01,0.98,30.56,3.06,-3.61,-0.36,855.01,427.51,0
155,Entry short,2023-11-13 21:00,Short Entry,0.965,1035.196,998.96414,30.07,3.01,0.98,30.56,3.06,-3.61,-0.36,855.01,427.51,0
156,Exit short,2023-11-15 13:00,Trailing Stop,1.0576,939.849,999.999336,5.02,0.50,1,15.48,1.55,-12.72,-1.27,860.03,430.01,0
156,Entry short,2023-11-15 13:00,Short Entry,1.064,939.849,999.999336,5.02,0.50,1,15.48,1.55,-12.72,-1.27,860.03,430.01,0
157,Exit short,2023-11-15 21:00,Stop Loss,1.0883,936.329,999.999372,-20.02,-2.00,1.01,1.37,0.14,-19.51,-1.95,840.01,420.01,0
157,Entry short,2023-11-15 21:00,Short Entry,1.068,936.329,999.999372,-20.02,-2.00,1.01,1.37,0.14,-19.51,-1.95,840.01,420.01,0
