Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
308,Exit long,2026-03-30 05:00,Trailing Stop,2047.44,0.4914,999.984258,5.12,0.51,1,15.62,1.56,-0.5,-0.05,726.98,363.49,1
308,Entry long,2026-03-30 01:00,Long Entry,2034.97,0.4914,999.984258,5.12,0.51,1,15.62,1.56,-0.5,-0.05,726.98,363.49,1
309,Exit short,2026-04-08 09:00,Trailing Stop,2208.36,0.4476,999.889164,10.43,1.04,0.99,20.92,2.09,-16.51,-1.65,737.41,368.71,2
309,Entry short,2026-04-08 01:00,Short Entry,2233.89,0.4476,999.889164,10.43,1.04,0.99,20.92,2.09,-16.51,-1.65,737.41,368.71,2
310,Exit short,2026-04-11 21:00,Take Profit,2213.06,0.4378,999.873908,30.01,3.00,0.98,30.5,3.05,-2.36,-0.24,767.42,383.71,0
310,Entry short,2026-04-11 21:00,Short Entry,2283.86,0.4378,999.873908,30.01,3.00,0.98,30.5,3.05,-2.36,-0.24,767.42,383.71,0
311,Exit short,2026-04-14 09:00,Trailing Stop,2355.1,0.4228,999.790932,3.06,0.31,1,13.55,1.35,-13.44,-1.34,770.48,385.24,2
311,Entry short,2026-04-14 01:00,Short Entry,2364.69,0.4228,999.790932,3.06,0.31,1,13.55,1.35,-13.44,-1.34,770.48,385.24,2
312,Exit short,2026-04-18 05:00,Take Profit,2351.25,0.4121,999.952408,30.02,3.00,0.98,30.5,3.05,-6.75,-0.67,800.5,400.25,3
312,Entry short,2026-04-17 17:00,Short Entry,2426.48,0.4121,999.952408,30.02,3.00,0.98,30.5,3.05,-6.75,-0.67,800.5,400.25,3
313,Exit short,2026-05-07 01:00,Trailing Stop,2335.05,0.4241,999.904811,8.62,0.86,1,19.11,1.91,-5.11,-0.51,809.11,404.56,3
313,Entry short,2026-05-06 13:00,Short Entry,2357.71,0.4241,999.904811,8.62,0.86,1,19.11,1.91,-5.11,-0.51,809.11,404.56,3
314,Exit long,2026-05-14 17:00,Trailing Stop,2296.05,0.4433,999.911913,16.92,1.69,1.01,27.42,2.74,-8.73,-0.87,826.03,413.01,6
314,Entry long,2026-05-13 17:00,Long Entry,2255.61,0.4433,999.911913,16.92,1.69,1.01,27.42,2.74,-8.73,-0.87,826.03,413.01,6
