Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
39,Entry short,2022-06-24 05:00,Short Entry,0.2134,4683.84,999.531456,-20.03,-2.00,1.01,6.53,0.65,-19.52,-1.95,122.32,61.16,1
40,Exit short,2022-06-24 21:00,Trailing Stop,0.2185,4543.389,1000.908597,7.18,0.72,1,17.67,1.76,-0.5,-0.05,129.5,64.75,0
40,Entry short,2022-06-24 21:00,Short Entry,0.2203,4543.389,1000.908597,7.18,0.72,1,17.67,1.76,-0.5,-0.05,129.5,64.75,0
41,Exit short,2022-06-25 09:00,Take Profit,0.21453,4514.672,999.5483808,30.03,3.00,0.98,30.52,3.05,-9.08,-0.91,159.53,79.77,0
41,Entry short,2022-06-25 09:00,Short Entry,0.2214,4514.672,999.5483808,30.03,3.00,0.98,30.52,3.05,-9.08,-0.91,159.53,79.77,0
42,Exit short,2022-06-26 13:00,Take Profit,0.21211,4568.296,999.9999944,30.03,3.00,0.98,30.52,3.05,-13.75,-1.37,189.57,94.78,0
42,Entry short,2022-06-26 13:00,Short Entry,0.2189,4568.296,999.9999944,30.03,3.00,0.98,30.52,3.05,-13.75,-1.37,189.57,94.78,0
43,Exit long,2022-07-02 05:00,Trailing Stop,0.17655,5685.048,999.9999432,2.69,0.27,1,13.14,1.31,-0.5,-0.05,192.26,96.13,0
43,Entry long,2022-07-02 05:00,Long Entry,0.1759,5685.048,999.9999432,2.69,0.27,1,13.14,1.31,-0.5,-0.05,192.26,96.13,0
44,Exit short,2022-07-09 21:00,Trailing Stop,0.19425,5117.707,1001.023489,5.91,0.59,1,16.39,1.64,-5.11,-0.51,198.17,99.09,1
44,Entry short,2022-07-09 17:00,Short Entry,0.1956,5117.707,1001.023489,5.91,0.59,1,16.39,1.64,-5.11,-0.51,198.17,99.09,1
45,Exit long,2022-07-13 05:00,Take Profit,0.17218,5984.44,999.40148,29.98,3.00,1.01,30.5,3.05,-1.1,-0.11,228.16,114.08,1
45,Entry long,2022-07-13 01:00,Long Entry,0.167,5984.44,999.40148,29.98,3.00,1.01,30.5,3.05,-1.1,-0.11,228.16,114.08,1
46,Exit long,2022-07-13 17:00,Take Profit,0.17115,6024.096,999.999936,30.01,3.00,1.02,30.52,3.05,-5.32,-0.53,258.17,129.08,0
46,Entry long,2022-07-13 17:00,Long Entry,0.166,6024.096,999.999936,30.01,3.00,1.02,30.52,3.05,-5.32,-0.53,258.17,129.08,0
47,Exit short,2022-07-19 01:00,Trailing Stop,0.19961,4970.178,1000.496831,7.4,0.74,1,17.89,1.79,-0.5,-0.05,265.57,132.78,0
47,Entry short,2022-07-19 01:00,Short Entry,0.2013,4970.178,1000.496831,7.4,0.74,1,17.89,1.79,-0.5,-0.05,265.57,132.78,0
48,Exit short,2022-07-19 21:00,Trailing Stop,0.2106,4739.336,999.5259624,0.42,0.04,1,10.87,1.09,-0.5,-0.05,265.99,133.00,0
48,Entry short,2022-07-19 21:00,Short Entry,0.2109,4739.336,999.5259624,0.42,0.04,1,10.87,1.09,-0.5,-0.05,265.99,133.00,0
49,Exit short,2022-07-20 05:00,Trailing Stop,0.20883,4686.035,999.5312655,19.96,2.00,0.99,30.43,3.04,-8.47,-0.85,285.95,142.97,0
49,Entry short,2022-07-20 05:00,Short Entry,0.2133,4686.035,999.5312655,19.96,2.00,0.99,30.43,3.04,-8.47,-0.85,285.95,142.97,0
50,Exit short,2022-07-30 09:00,Stop Loss,0.225,4531.037,1000.45297,-20.04,-2.00,1.01,2.67,0.27,-19.53,-1.95,265.91,132.95,0
50,Entry short,2022-07-30 09:00,Short Entry,0.2208,4531.037,1000.45297,-20.04,-2.00,1.01,2.67,0.27,-19.53,-1.95,265.91,132.95,0
51,Exit short,2022-07-30 17:00,Take Profit,0.21376,4531.037,999.5467622,30.01,3.00,0.98,30.49,3.05,-5.48,-0.55,295.92,147.96,0
51,Entry short,2022-07-30 17:00,Short Entry,0.2206,4531.037,999.5467622,30.01,3.00,0.98,30.49,3.05,-5.48,-0.55,295.92,147.96,0
52,Exit short,2022-08-09 05:00,Take Profit,0.22306,4342.162,999.5656924,30.02,3.00,0.98,30.5,3.05,-1.37,-0.14,325.94,162.97,0
52,Entry short,2022-08-09 05:00,Short Entry,0.2302,4342.162,999.5656924,30.02,3.00,0.98,30.5,3.05,-1.37,-0.14,325.94,162.97,0
53,Exit short,2022-08-11 05:00,Trailing Stop,0.23366,4221.19,999.999911,12.68,1.27,0.99,23.14,2.31,-4.72,-0.47,338.62,169.31,1
53,Entry short,2022-08-11 01:00,Short Entry,0.2369,4221.19,999.999911,12.68,1.27,0.99,23.14,2.31,-4.72,-0.47,338.62,169.31,1
54,Exit long,2022-08-21 05:00,Take Profit,0.17342,5945.303,999.9999646,30.02,3.00,1.02,30.53,3.05,-8.23,-0.82,368.64,184.32,2
54,Entry long,2022-08-20 21:00,Long Entry,0.1682,5945.303,999.9999646,30.02,3.00,1.02,30.53,3.05,-8.23,-0.82,368.64,184.32,2
55,Exit long,2022-08-27 01:00,Stop Loss,0.16176,6064.281,999.9999369,-20.03,-2.00,0.99,2.53,0.25,-19.54,-1.95,348.61,174.30,0
55,Entry long,2022-08-27 01:00,Long Entry,0.1649,6064.281,999.9999369,-20.03,-2.00,0.99,2.53,0.25,-19.54,-1.95,348.61,174.30,0
56,Exit long,2022-08-29 05:00,Trailing Stop,0.16259,6172.839,999.3826341,3.26,0.33,1,13.7,1.37,-10.99,-1.10,351.86,175.93,1
