Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
274,Exit long,2025-01-13 13:00,Stop Loss,175.29,5.596,999.94924,-20.02,-2.00,0.99,5.26,0.53,-19.53,-1.95,784.27,392.13,0
274,Entry long,2025-01-13 13:00,Long Entry,178.69,5.596,999.94924,-20.02,-2.00,0.99,5.26,0.53,-19.53,-1.95,784.27,392.13,0
275,Exit short,2025-01-16 21:00,Stop Loss,215.04,4.738,999.86014,-20.01,-2.00,1.01,5.75,0.58,-19.5,-1.95,764.26,382.13,0
275,Entry short,2025-01-16 21:00,Short Entry,211.03,4.738,999.86014,-20.01,-2.00,1.01,5.75,0.58,-19.5,-1.95,764.26,382.13,0
276,Exit short,2025-01-17 13:00,Trailing Stop,217.73,4.576,999.99328,2.66,0.27,1,13.14,1.31,-0.5,-0.05,766.92,383.46,0
276,Entry short,2025-01-17 13:00,Short Entry,218.53,4.576,999.99328,2.66,0.27,1,13.14,1.31,-0.5,-0.05,766.92,383.46,0
277,Exit short,2025-01-19 01:00,Stop Loss,260.32,3.914,999.87044,-20.03,-2.00,1.01,4.98,0.50,-19.52,-1.95,746.89,373.44,0
277,Entry short,2025-01-19 01:00,Short Entry,255.46,3.914,999.87044,-20.03,-2.00,1.01,4.98,0.50,-19.52,-1.95,746.89,373.44,0
278,Exit short,2025-01-19 13:00,Trailing Stop,266.59,3.696,999.80496,13.5,1.35,0.99,23.97,2.40,-18.02,-1.80,760.38,380.19,0
278,Entry short,2025-01-19 13:00,Short Entry,270.51,3.696,999.80496,13.5,1.35,0.99,23.97,2.40,-18.02,-1.80,760.38,380.19,0
279,Exit long,2025-02-03 05:00,Trailing Stop,199.97,5.025,999.82425,4.02,0.40,1,14.47,1.45,-0.5,-0.05,764.41,382.20,0
279,Entry long,2025-02-03 05:00,Long Entry,198.97,5.025,999.82425,4.02,0.40,1,14.47,1.45,-0.5,-0.05,764.41,382.20,0
280,Exit long,2025-02-06 05:00,Trailing Stop,201.86,4.986,999.99216,5.48,0.55,1,15.95,1.59,-2.64,-0.26,769.89,384.94,1
280,Entry long,2025-02-06 01:00,Long Entry,200.56,4.986,999.99216,5.48,0.55,1,15.95,1.59,-2.64,-0.26,769.89,384.94,1
281,Exit long,2025-02-07 01:00,Trailing Stop,193.34,5.175,999.81,-0.28,-0.03,1,10.21,1.02,-0.5,-0.05,769.61,384.81,0
281,Entry long,2025-02-07 01:00,Long Entry,193.2,5.175,999.81,-0.28,-0.03,1,10.21,1.02,-0.5,-0.05,769.61,384.81,0
282,Exit long,2025-02-18 01:00,Stop Loss,174.09,5.634,999.86598,-20.03,-2.00,0.99,8.06,0.81,-19.54,-1.95,749.58,374.79,1
282,Entry long,2025-02-17 21:00,Long Entry,177.47,5.634,999.86598,-20.03,-2.00,0.99,8.06,0.81,-19.54,-1.95,749.58,374.79,1
283,Exit long,2025-02-19 01:00,Stop Loss,166,5.909,999.92098,-20.02,-2.00,0.99,8.6,0.86,-19.53,-1.95,729.56,364.78,1
283,Entry long,2025-02-18 21:00,Long Entry,169.22,5.909,999.92098,-20.02,-2.00,0.99,8.6,0.86,-19.53,-1.95,729.56,364.78,1
284,Exit long,2025-02-27 01:00,Trailing Stop,137.65,7.392,999.98976,16.51,1.65,1.01,27,2.70,-3.68,-0.37,746.07,373.03,1
284,Entry long,2025-02-26 21:00,Long Entry,135.28,7.392,999.98976,16.51,1.65,1.01,27,2.70,-3.68,-0.37,746.07,373.03,1
285,Exit long,2025-02-28 05:00,Take Profit,132.45,7.785,1000.0611,30.05,3.00,1.02,30.56,3.05,-5.17,-0.52,776.12,388.06,0
285,Entry long,2025-02-28 05:00,Long Entry,128.46,7.785,1000.0611,30.05,3.00,1.02,30.56,3.05,-5.17,-0.52,776.12,388.06,0
286,Exit short,2025-03-25 21:00,Trailing Stop,143.85,6.899,999.87207,6.45,0.65,1,16.89,1.69,-8.09,-0.81,782.57,391.29,1
286,Entry short,2025-03-25 17:00,Short Entry,144.93,6.899,999.87207,6.45,0.65,1,16.89,1.69,-8.09,-0.81,782.57,391.29,1
287,Exit long,2025-03-30 09:00,Stop Loss,123.2,7.962,999.94758,-20.02,-2.00,0.99,6.35,0.63,-19.53,-1.95,762.55,381.28,2
287,Entry long,2025-03-30 01:00,Long Entry,125.59,7.962,999.94758,-20.02,-2.00,0.99,6.35,0.63,-19.53,-1.95,762.55,381.28,2
288,Exit long,2025-03-31 13:00,Stop Loss,124.31,7.892,1000.07424,-20.01,-2.00,0.99,4.24,0.42,-19.52,-1.95,742.54,371.27,0
288,Entry long,2025-03-31 13:00,Long Entry,126.72,7.892,1000.07424,-20.01,-2.00,0.99,4.24,0.42,-19.52,-1.95,742.54,371.27,0
289,Exit long,2025-04-03 05:00,Stop Loss,117.48,8.35,999.996,-20.03,-2.00,0.99,8.94,0.89,-19.54,-1.95,722.51,361.26,1
289,Entry long,2025-04-03 01:00,Long Entry,119.76,8.35,999.996,-20.03,-2.00,0.99,8.94,0.89,-19.54,-1.95,722.51,361.26,1
290,Exit long,2025-04-03 21:00,Trailing Stop,116.22,8.671,1000.02643,6.71,0.67,1,17.19,1.72,-3.79,-0.38,729.23,364.61,1
290,Entry long,2025-04-03 17:00,Long Entry,115.33,8.671,1000.02643,6.71,0.67,1,17.19,1.72,-3.79,-0.38,729.23,364.61,1
291,Exit short,2025-04-14 13:00,Stop Loss,131.16,7.77,1000.0767,-20.05,-2.00,1.01,5.09,0.51,-19.54,-1.95,709.18,354.59,0
291,Entry short,2025-04-14 13:00,Short Entry,128.71,7.77,1000.0767,-20.05,-2.00,1.01,5.09,0.51,-19.54,-1.95,709.18,354.59,0
292,Exit short,2025-04-17 09:00,Trailing Stop,131.81,7.517,999.98651,8.18,0.82,1,18.67,1.87,-11.02,-1.10,717.36,358.68,0
292,Entry short,2025-04-17 09:00,Short Entry,133.03,7.517,999.98651,8.18,0.82,1,18.67,1.87,-11.02,-1.10,717.36,358.68,0
